DATE,BOPGSTB
1992-01-01,-2026
1992-02-01,-831
1992-03-01,-2641
1992-04-01,-3109
1992-05-01,-3919
1992-06-01,-2824
1992-07-01,-2781
1992-08-01,-4455
1992-09-01,-3530
1992-10-01,-3520
1992-11-01,-3968
1992-12-01,-5603
1993-01-01,-3871
1993-02-01,-3596
1993-03-01,-6777
1993-04-01,-6445
1993-05-01,-4369
1993-06-01,-6929
1993-07-01,-6382
1993-08-01,-5581
1993-09-01,-7031
1993-10-01,-6594
1993-11-01,-7016
1993-12-01,-5719
1994-01-01,-6207
1994-02-01,-9245
1994-03-01,-6466
1994-04-01,-7887
1994-05-01,-7728
1994-06-01,-8380
1994-07-01,-8739
1994-08-01,-8303
1994-09-01,-8310
1994-10-01,-9158
1994-11-01,-9615
1994-12-01,-8456
1995-01-01,-9324
1995-02-01,-8817
1995-03-01,-9708
1995-04-01,-9609
1995-05-01,-9090
1995-06-01,-10623
1995-07-01,-7688
1995-08-01,-6704
1995-09-01,-5924
1995-10-01,-6114
1995-11-01,-6514
1995-12-01,-6271
1996-01-01,-8465
1996-02-01,-7319
1996-03-01,-7756
1996-04-01,-8744
1996-05-01,-9259
1996-06-01,-7460
1996-07-01,-10132
1996-08-01,-10357
1996-09-01,-10195
1996-10-01,-6635
1996-11-01,-7268
1996-12-01,-10475
1997-01-01,-11269
1997-02-01,-9776
1997-03-01,-8383
1997-04-01,-8086
1997-05-01,-8394
1997-06-01,-7154
1997-07-01,-7033
1997-08-01,-8743
1997-09-01,-9269
1997-10-01,-9089
1997-11-01,-9786
1997-12-01,-11289
1998-01-01,-10776
1998-02-01,-11564
1998-03-01,-12880
1998-04-01,-13940
1998-05-01,-14202
1998-06-01,-13247
1998-07-01,-13949
1998-08-01,-16028
1998-09-01,-14820
1998-10-01,-14815
1998-11-01,-15173
1998-12-01,-14745
1999-01-01,-15946
1999-02-01,-18786
1999-03-01,-17900
1999-04-01,-18254
1999-05-01,-20229
1999-06-01,-23115
1999-07-01,-23421
1999-08-01,-22977
1999-09-01,-22899
1999-10-01,-23531
1999-11-01,-25224
1999-12-01,-26337
2000-01-01,-27088
2000-02-01,-29930
2000-03-01,-31154
2000-04-01,-28800
2000-05-01,-29813
2000-06-01,-30966
2000-07-01,-31426
2000-08-01,-30035
2000-09-01,-34018
2000-10-01,-33224
2000-11-01,-32607
2000-12-01,-33454
2001-01-01,-34817
2001-02-01,-29349
2001-03-01,-32732
2001-04-01,-31217
2001-05-01,-27446
2001-06-01,-29140
2001-07-01,-30081
2001-08-01,-28171
2001-09-01,-31141
2001-10-01,-30839
2001-11-01,-29737
2001-12-01,-26839
2002-01-01,-29355
2002-02-01,-32287
2002-03-01,-30825
2002-04-01,-33666
2002-05-01,-33921
2002-06-01,-34900
2002-07-01,-33650
2002-08-01,-35743
2002-09-01,-36519
2002-10-01,-35171
2002-11-01,-39624
2002-12-01,-43294
2003-01-01,-40740
2003-02-01,-39363
2003-03-01,-43355
2003-04-01,-41987
2003-05-01,-40779
2003-06-01,-39621
2003-07-01,-41363
2003-08-01,-39802
2003-09-01,-41706
2003-10-01,-41271
2003-11-01,-39841
2003-12-01,-44064
2004-01-01,-44352
2004-02-01,-44322
2004-03-01,-46484
2004-04-01,-47479
2004-05-01,-48169
2004-06-01,-54702
2004-07-01,-51293
2004-08-01,-53316
2004-09-01,-51489
2004-10-01,-54961
2004-11-01,-58819
2004-12-01,-54500
2005-01-01,-55561
2005-02-01,-57454
2005-03-01,-52619
2005-04-01,-57115
2005-05-01,-56264
2005-06-01,-58260
2005-07-01,-58063
2005-08-01,-58388
2005-09-01,-64923
2005-10-01,-67140
2005-11-01,-64090
2005-12-01,-64366
2006-01-01,-66680
2006-02-01,-62851
2006-03-01,-62574
2006-04-01,-62844
2006-05-01,-64844
2006-06-01,-63481
2006-07-01,-66525
2006-08-01,-67823
2006-09-01,-64936
2006-10-01,-58990
2006-11-01,-58575
2006-12-01,-61592
2007-01-01,-57656
2007-02-01,-58478
2007-03-01,-61797
2007-04-01,-60514
2007-05-01,-59288
2007-06-01,-59520
2007-07-01,-59914
2007-08-01,-57005
2007-09-01,-57794
2007-10-01,-56538
2007-11-01,-59717
2007-12-01,-57154
2008-01-01,-61139
2008-02-01,-64348
2008-03-01,-60064
2008-04-01,-63528
2008-05-01,-62151
2008-06-01,-60670
2008-07-01,-66842
2008-08-01,-62108
2008-09-01,-60499
2008-10-01,-60191
2008-11-01,-44724
2008-12-01,-42463
2009-01-01,-37842
2009-02-01,-27767
2009-03-01,-29162
2009-04-01,-29705
2009-05-01,-25372
2009-06-01,-26367
2009-07-01,-32790
2009-08-01,-31267
2009-09-01,-34491
2009-10-01,-33826
2009-11-01,-37203
2009-12-01,-37983
2010-01-01,-37302.0
2010-02-01,-41116.0
2010-03-01,-39848.0
2010-04-01,-40817.0
2010-05-01,-41347.0
2010-06-01,-46644.0
2010-07-01,-40670.0
2010-08-01,-45011.0
2010-09-01,-43876.0
2010-10-01,-39737.0
2010-11-01,-37842.0
2010-12-01,-41015.0
2011-01-01,-47352.0
2011-02-01,-44068.0
2011-03-01,-43621.0
2011-04-01,-42173.0
2011-05-01,-47163.0
2011-06-01,-49505.0
2011-07-01,-45943.0
2011-08-01,-44984.0
2011-09-01,-43744.0
2011-10-01,-44974.0
2011-11-01,-46888.0
2011-12-01,-49283.0
2012-01-01,-51077.0
2012-02-01,-43675.0
2012-03-01,-50088.0
2012-04-01,-47406.0
2012-05-01,-45786.0
2012-06-01,-43536.0
2012-07-01,-43570.0
2012-08-01,-44280.0
2012-09-01,-40127.0
2012-10-01,-43032.0
2012-11-01,-46700.0
2012-12-01,-38132.0
2013-01-01,-41288.0
2013-02-01,-42039.0
2013-03-01,-35741.0
2013-04-01,-38714.0
2013-05-01,-42687.0
2013-06-01,-35764.0
2013-07-01,-37710.0
2013-08-01,-38253.0
2013-09-01,-41461.0
2013-10-01,-37615.0
2013-11-01,-35158.0
2013-12-01,-34705.0
2014-01-01,-39113.0
2014-02-01,-41093.0
2014-03-01,-41656.0
2014-04-01,-44271.0
2014-05-01,-40941.0
2014-06-01,-39878.0
2014-07-01,-39909.0
2014-08-01,-37906.0
2014-09-01,-41768.0
2014-10-01,-40762.0
2014-11-01,-39856.0
2014-12-01,-42429.0
2015-01-01,-41037.0
2015-02-01,-35934.0
2015-03-01,-48737.0
2015-04-01,-40519.0
2015-05-01,-38746.0
2015-06-01,-42208.0
2015-07-01,-40705.0
2015-08-01,-44463.0
2015-09-01,-42363.0
2015-10-01,-41769.0
2015-11-01,-40439.0
2015-12-01,-41605.0
2016-01-01,-42217.0
2016-02-01,-45695.0
2016-03-01,-37350.0
2016-04-01,-38192.0
2016-05-01,-40170.0
2016-06-01,-43737.0
2016-07-01,-41136.0
2016-08-01,-41635.0
2016-09-01,-39000.0
2016-10-01,-42644.0
2016-11-01,-46127.0
